,Collection,Collection_cleaned,Datetime_updated,sales,prediction
187,Cryptokitties,Cryptokittie,2018-05-29 00:00:00,735.0,
188,Cryptokitties,Cryptokittie,2018-05-30 00:00:00,800.0,
189,Cryptokitties,Cryptokittie,2018-05-31 00:00:00,746.0,
190,Cryptokitties,Cryptokittie,2018-06-01 00:00:00,1035.0,
191,Cryptokitties,Cryptokittie,2018-06-02 00:00:00,1228.0,
192,Cryptokitties,Cryptokittie,2018-06-03 00:00:00,1252.0,
193,Cryptokitties,Cryptokittie,2018-06-04 00:00:00,791.0,
194,Cryptokitties,Cryptokittie,2018-06-05 00:00:00,849.0,
195,Cryptokitties,Cryptokittie,2018-06-06 00:00:00,925.0,
196,Cryptokitties,Cryptokittie,2018-06-07 00:00:00,866.0,
197,Cryptokitties,Cryptokittie,2018-06-08 00:00:00,1001.0,
198,Cryptokitties,Cryptokittie,2018-06-09 00:00:00,1008.0,
199,Cryptokitties,Cryptokittie,2018-06-10 00:00:00,1167.0,
200,Cryptokitties,Cryptokittie,2018-06-11 00:00:00,1054.0,
201,Cryptokitties,Cryptokittie,2018-06-12 00:00:00,949.0,
202,Cryptokitties,Cryptokittie,2018-06-13 00:00:00,842.0,
203,Cryptokitties,Cryptokittie,2018-06-14 00:00:00,631.0,
204,Cryptokitties,Cryptokittie,2018-06-15 00:00:00,822.0,
205,Cryptokitties,Cryptokittie,2018-06-16 00:00:00,925.0,
206,Cryptokitties,Cryptokittie,2018-06-17 00:00:00,1237.0,
207,Cryptokitties,Cryptokittie,2018-06-18 00:00:00,1413.0,
208,Cryptokitties,Cryptokittie,2018-06-19 00:00:00,792.0,
209,Cryptokitties,Cryptokittie,2018-06-20 00:00:00,899.0,
210,Cryptokitties,Cryptokittie,2018-06-21 00:00:00,839.0,
211,Cryptokitties,Cryptokittie,2018-06-22 00:00:00,1043.0,
212,Cryptokitties,Cryptokittie,2018-06-23 00:00:00,1536.0,
213,Cryptokitties,Cryptokittie,2018-06-24 00:00:00,1211.0,
214,Cryptokitties,Cryptokittie,2018-06-25 00:00:00,1001.0,
215,Cryptokitties,Cryptokittie,2018-06-26 00:00:00,1636.0,
216,Cryptokitties,Cryptokittie,2018-06-27 00:00:00,929.0,
217,Cryptokitties,Cryptokittie,2018-06-28 00:00:00,875.0,
218,Cryptokitties,Cryptokittie,2018-06-29 00:00:00,885.0,
219,Cryptokitties,Cryptokittie,2018-06-30 00:00:00,400.0,
220,Cryptokitties,Cryptokittie,2018-07-01 00:00:00,308.0,
221,Cryptokitties,Cryptokittie,2018-07-02 00:00:00,183.0,
222,Cryptokitties,Cryptokittie,2018-07-03 00:00:00,252.0,
223,Cryptokitties,Cryptokittie,2018-07-04 00:00:00,217.0,
224,Cryptokitties,Cryptokittie,2018-07-05 00:00:00,346.0,
225,Cryptokitties,Cryptokittie,2018-07-06 00:00:00,320.0,
226,Cryptokitties,Cryptokittie,2018-07-07 00:00:00,238.0,
227,Cryptokitties,Cryptokittie,2018-07-08 00:00:00,454.0,
228,Cryptokitties,Cryptokittie,2018-07-09 00:00:00,481.0,
229,Cryptokitties,Cryptokittie,2018-07-10 00:00:00,589.0,
230,Cryptokitties,Cryptokittie,2018-07-11 00:00:00,739.0,
231,Cryptokitties,Cryptokittie,2018-07-12 00:00:00,600.0,
232,Cryptokitties,Cryptokittie,2018-07-13 00:00:00,731.0,
233,Cryptokitties,Cryptokittie,2018-07-14 00:00:00,253.0,
234,Cryptokitties,Cryptokittie,2018-07-15 00:00:00,408.0,
235,Cryptokitties,Cryptokittie,2018-07-16 00:00:00,757.0,
236,Cryptokitties,Cryptokittie,2018-07-17 00:00:00,834.0,
237,Cryptokitties,Cryptokittie,2018-07-18 00:00:00,773.0,
238,Cryptokitties,Cryptokittie,2018-07-19 00:00:00,880.0,
239,Cryptokitties,Cryptokittie,2018-07-20 00:00:00,707.0,
240,Cryptokitties,Cryptokittie,2018-07-21 00:00:00,679.0,
241,Cryptokitties,Cryptokittie,2018-07-22 00:00:00,827.0,
242,Cryptokitties,Cryptokittie,2018-07-23 00:00:00,682.0,
243,Cryptokitties,Cryptokittie,2018-07-24 00:00:00,792.0,
244,Cryptokitties,Cryptokittie,2018-07-25 00:00:00,691.0,
245,Cryptokitties,Cryptokittie,2018-07-26 00:00:00,920.0,
246,Cryptokitties,Cryptokittie,2018-07-27 00:00:00,830.0,
247,Cryptokitties,Cryptokittie,2018-07-28 00:00:00,920.0,
248,Cryptokitties,Cryptokittie,2018-07-29 00:00:00,867.0,
249,Cryptokitties,Cryptokittie,2018-07-30 00:00:00,676.0,
250,Cryptokitties,Cryptokittie,2018-07-31 00:00:00,788.0,
251,Cryptokitties,Cryptokittie,2018-08-01 00:00:00,772.0,
252,Cryptokitties,Cryptokittie,2018-08-02 00:00:00,862.0,
253,Cryptokitties,Cryptokittie,2018-08-03 00:00:00,556.0,
254,Cryptokitties,Cryptokittie,2018-08-04 00:00:00,790.0,
255,Cryptokitties,Cryptokittie,2018-08-05 00:00:00,565.0,
256,Cryptokitties,Cryptokittie,2018-08-06 00:00:00,538.0,
257,Cryptokitties,Cryptokittie,2018-08-07 00:00:00,461.0,
258,Cryptokitties,Cryptokittie,2018-08-08 00:00:00,295.0,
259,Cryptokitties,Cryptokittie,2018-08-09 00:00:00,363.0,
260,Cryptokitties,Cryptokittie,2018-08-10 00:00:00,420.0,
261,Cryptokitties,Cryptokittie,2018-08-11 00:00:00,664.0,
262,Cryptokitties,Cryptokittie,2018-08-12 00:00:00,789.0,
263,Cryptokitties,Cryptokittie,2018-08-13 00:00:00,645.0,
264,Cryptokitties,Cryptokittie,2018-08-14 00:00:00,810.0,
265,Cryptokitties,Cryptokittie,2018-08-15 00:00:00,765.0,
266,Cryptokitties,Cryptokittie,2018-08-16 00:00:00,768.0,
267,Cryptokitties,Cryptokittie,2018-08-17 00:00:00,755.0,
268,Cryptokitties,Cryptokittie,2018-08-18 00:00:00,786.0,
269,Cryptokitties,Cryptokittie,2018-08-19 00:00:00,825.0,
270,Cryptokitties,Cryptokittie,2018-08-20 00:00:00,968.0,
271,Cryptokitties,Cryptokittie,2018-08-21 00:00:00,902.0,
272,Cryptokitties,Cryptokittie,2018-08-22 00:00:00,1990.0,
273,Cryptokitties,Cryptokittie,2018-08-23 00:00:00,1021.0,
274,Cryptokitties,Cryptokittie,2018-08-24 00:00:00,1463.0,
275,Cryptokitties,Cryptokittie,2018-08-25 00:00:00,1132.0,
276,Cryptokitties,Cryptokittie,2018-08-26 00:00:00,1177.0,
277,Cryptokitties,Cryptokittie,2018-08-27 00:00:00,1080.0,
278,Cryptokitties,Cryptokittie,2018-08-28 00:00:00,1178.0,
279,Cryptokitties,Cryptokittie,2018-08-29 00:00:00,1185.0,
280,Cryptokitties,Cryptokittie,2018-08-30 00:00:00,1668.0,
281,Cryptokitties,Cryptokittie,2018-08-31 00:00:00,1193.0,
282,Cryptokitties,Cryptokittie,2018-09-01 00:00:00,1713.0,
283,Cryptokitties,Cryptokittie,2018-09-02 00:00:00,1207.0,
284,Cryptokitties,Cryptokittie,2018-09-03 00:00:00,1143.0,
285,Cryptokitties,Cryptokittie,2018-09-04 00:00:00,892.0,
286,Cryptokitties,Cryptokittie,2018-09-05 00:00:00,1438.0,
287,Cryptokitties,Cryptokittie,2018-09-06 00:00:00,1332.0,
288,Cryptokitties,Cryptokittie,2018-09-07 00:00:00,1623.0,
289,Cryptokitties,Cryptokittie,2018-09-08 00:00:00,1671.0,
290,Cryptokitties,Cryptokittie,2018-09-09 00:00:00,1835.0,
291,Cryptokitties,Cryptokittie,2018-09-10 00:00:00,1336.0,
292,Cryptokitties,Cryptokittie,2018-09-11 00:00:00,1422.0,
293,Cryptokitties,Cryptokittie,2018-09-12 00:00:00,1514.0,
294,Cryptokitties,Cryptokittie,2018-09-13 00:00:00,1376.0,
295,Cryptokitties,Cryptokittie,2018-09-14 00:00:00,1524.0,
296,Cryptokitties,Cryptokittie,2018-09-15 00:00:00,1486.0,
297,Cryptokitties,Cryptokittie,2018-09-16 00:00:00,1033.0,
298,Cryptokitties,Cryptokittie,2018-09-17 00:00:00,904.0,
299,Cryptokitties,Cryptokittie,2018-09-18 00:00:00,1295.0,
300,Cryptokitties,Cryptokittie,2018-09-19 00:00:00,2442.0,
301,Cryptokitties,Cryptokittie,2018-09-20 00:00:00,2085.0,
302,Cryptokitties,Cryptokittie,2018-09-21 00:00:00,868.0,
303,Cryptokitties,Cryptokittie,2018-09-22 00:00:00,1297.0,
304,Cryptokitties,Cryptokittie,2018-09-23 00:00:00,1199.0,
305,Cryptokitties,Cryptokittie,2018-09-24 00:00:00,1127.0,
306,Cryptokitties,Cryptokittie,2018-09-25 00:00:00,1027.0,
307,Cryptokitties,Cryptokittie,2018-09-26 00:00:00,1817.0,
308,Cryptokitties,Cryptokittie,2018-09-27 00:00:00,1313.0,
309,Cryptokitties,Cryptokittie,2018-09-28 00:00:00,812.0,
310,Cryptokitties,Cryptokittie,2018-09-29 00:00:00,1190.0,
311,Cryptokitties,Cryptokittie,2018-09-30 00:00:00,1231.0,
312,Cryptokitties,Cryptokittie,2018-10-01 00:00:00,654.0,
313,Cryptokitties,Cryptokittie,2018-10-02 00:00:00,672.0,
314,Cryptokitties,Cryptokittie,2018-10-03 00:00:00,1207.0,
315,Cryptokitties,Cryptokittie,2018-10-04 00:00:00,1401.0,
316,Cryptokitties,Cryptokittie,2018-10-05 00:00:00,1783.0,
317,Cryptokitties,Cryptokittie,2018-10-06 00:00:00,1796.0,
318,Cryptokitties,Cryptokittie,2018-10-07 00:00:00,1744.0,
319,Cryptokitties,Cryptokittie,2018-10-08 00:00:00,1376.0,
320,Cryptokitties,Cryptokittie,2018-10-09 00:00:00,1132.0,
321,Cryptokitties,Cryptokittie,2018-10-10 00:00:00,980.0,
322,Cryptokitties,Cryptokittie,2018-10-11 00:00:00,1154.0,
323,Cryptokitties,Cryptokittie,2018-10-12 00:00:00,1138.0,
324,Cryptokitties,Cryptokittie,2018-10-13 00:00:00,1105.0,
325,Cryptokitties,Cryptokittie,2018-10-14 00:00:00,1024.0,
326,Cryptokitties,Cryptokittie,2018-10-15 00:00:00,791.0,
327,Cryptokitties,Cryptokittie,2018-10-16 00:00:00,923.0,
328,Cryptokitties,Cryptokittie,2018-10-17 00:00:00,1053.0,
329,Cryptokitties,Cryptokittie,2018-10-18 00:00:00,876.0,
330,Cryptokitties,Cryptokittie,2018-10-19 00:00:00,1377.0,
331,Cryptokitties,Cryptokittie,2018-10-20 00:00:00,1134.0,
332,Cryptokitties,Cryptokittie,2018-10-21 00:00:00,1194.0,
333,Cryptokitties,Cryptokittie,2018-10-22 00:00:00,778.0,
334,Cryptokitties,Cryptokittie,2018-10-23 00:00:00,1120.0,
335,Cryptokitties,Cryptokittie,2018-10-24 00:00:00,976.0,
336,Cryptokitties,Cryptokittie,2018-10-25 00:00:00,825.0,
337,Cryptokitties,Cryptokittie,2018-10-26 00:00:00,828.0,
338,Cryptokitties,Cryptokittie,2018-10-27 00:00:00,1084.0,
339,Cryptokitties,Cryptokittie,2018-10-28 00:00:00,1311.0,
340,Cryptokitties,Cryptokittie,2018-10-29 00:00:00,893.0,
341,Cryptokitties,Cryptokittie,2018-10-30 00:00:00,962.0,
342,Cryptokitties,Cryptokittie,2018-10-31 00:00:00,883.0,
343,Cryptokitties,Cryptokittie,2018-11-01 00:00:00,1223.0,
344,Cryptokitties,Cryptokittie,2018-11-02 00:00:00,1144.0,
345,Cryptokitties,Cryptokittie,2018-11-03 00:00:00,1293.0,
346,Cryptokitties,Cryptokittie,2018-11-04 00:00:00,1040.0,
347,Cryptokitties,Cryptokittie,2018-11-05 00:00:00,1198.0,
348,Cryptokitties,Cryptokittie,2018-11-06 00:00:00,1060.0,
349,Cryptokitties,Cryptokittie,2018-11-07 00:00:00,847.0,
350,Cryptokitties,Cryptokittie,2018-11-08 00:00:00,1107.0,
351,Cryptokitties,Cryptokittie,2018-11-09 00:00:00,1126.0,
352,Cryptokitties,Cryptokittie,2018-11-10 00:00:00,989.0,
353,Cryptokitties,Cryptokittie,2018-11-11 00:00:00,1255.0,
354,Cryptokitties,Cryptokittie,2018-11-12 00:00:00,982.0,
355,Cryptokitties,Cryptokittie,2018-11-13 00:00:00,1471.0,
356,Cryptokitties,Cryptokittie,2018-11-14 00:00:00,1248.0,
357,Cryptokitties,Cryptokittie,2018-11-15 00:00:00,1349.0,
358,Cryptokitties,Cryptokittie,2018-11-16 00:00:00,1463.0,
359,Cryptokitties,Cryptokittie,2018-11-17 00:00:00,1615.0,
360,Cryptokitties,Cryptokittie,2018-11-18 00:00:00,1205.0,
361,Cryptokitties,Cryptokittie,2018-11-19 00:00:00,1044.0,
362,Cryptokitties,Cryptokittie,2018-11-20 00:00:00,902.0,
363,Cryptokitties,Cryptokittie,2018-11-21 00:00:00,978.0,
364,Cryptokitties,Cryptokittie,2018-11-22 00:00:00,1136.0,
365,Cryptokitties,Cryptokittie,2018-11-23 00:00:00,1011.0,
366,Cryptokitties,Cryptokittie,2018-11-24 00:00:00,1037.0,
367,Cryptokitties,Cryptokittie,2018-11-25 00:00:00,815.0,
368,Cryptokitties,Cryptokittie,2018-11-26 00:00:00,1013.0,
369,Cryptokitties,Cryptokittie,2018-11-27 00:00:00,1096.0,
370,Cryptokitties,Cryptokittie,2018-11-28 00:00:00,1239.0,
371,Cryptokitties,Cryptokittie,2018-11-29 00:00:00,791.0,
372,Cryptokitties,Cryptokittie,2018-11-30 00:00:00,918.0,
373,Cryptokitties,Cryptokittie,2018-12-01 00:00:00,1594.0,
374,Cryptokitties,Cryptokittie,2018-12-02 00:00:00,1193.0,
375,Cryptokitties,Cryptokittie,2018-12-03 00:00:00,1167.0,
376,Cryptokitties,Cryptokittie,2018-12-04 00:00:00,1582.0,
377,Cryptokitties,Cryptokittie,2018-12-05 00:00:00,9526.0,
378,Cryptokitties,Cryptokittie,2018-12-06 00:00:00,1128.0,
